New Zealand,021156,0932,021156,SMASH SURF & STREET LIMITED,,2/667 WHANGAPARAOA RD,,STANMORE BAY ,AUCKLAND,0932,NEW ZEALAND,,,09 428 4952,
New Zealand,027521,1025,027521,NORTH BEACH - ST LUKES,,UNIT 5,7 WAGENER PLACE,ST LUKES,AUCKLAND,1025,NZ,,,,
New Zealand,028004,0410,028004,AQUAPULSE,,49-51 COMMERCE STREET,,KAITAIA, ,0410,NEW ZEALAND,,,,
New Zealand,028007,8062,028007,AMAZON - EASTGATE,,SHOP 610 EASTGATE MALL,LINWOOD AVE,CHRISTCHURCH, ,8062,NEW ZEALAND,,,,
New Zealand,028008,0505,028008,Wax'd Surf Store (New Owners),,Shop 9,7 Wood St,Mangawhai Heads,Mangawhai,0505,New Zeland,,,,
New Zealand,028009,0632,028009,AMAZON - ALBANY,,SHOP 273 WESTFIELD MALL,219 DON MCKINNON DRIVE,ALBANY,NORTH SHORE CITY,0632,NEW ZEALAND,,,,
New Zealand,028010,3330,028010,B JAMMIN LTD,RICK,14 HOROMATANGI STREET,,TAUPO, ,3330,NEW ZEALAND,07 377 3133 Melanie a/c,bjammin@reap.org.nz,07 377 3213,
New Zealand,028011,3204,028011,BACKDOOR SURF SHOP - HAMILTON,,UNIT 17,21 RAILSIDE PLACE,FRANKTON,HAMILTON,3204,NEW ZEALAND,,,,
New Zealand,028013,4211,028013,BEACH CULTURE - HASTINGS,DAVID WALKER,111E HERETAUNGA STREET,,HASTINGS, ,4211,NEW ZEALAND,06 878 1219,,06 878 1219,
New Zealand,028014,4010,028014,BLITZ SURF SHOP - GISBORNE,,34-36 WAINUI ROAD,INNER KAITI,GISBORNE, ,4010,NEW ZEALAND,,,,
New Zealand,028018,,028018,NU DAX Queenstown LTD,Camille,"Unit 2, AHA House",Frankton,Queenstown,.,,NEW ZEALAND,,,,
New Zealand,028019,7010,028019,AMAZON - NELSON,,"SHOP 4, FASHION ISLAND",232 HARDY STREET,NELSON, ,7010,NEW ZEALAND,,,,
New Zealand,028020,6011,028020,THE BOARDROOM,SANDRA CRAIG A/C,SHOP 3 ,28 GREY ST,WELLINGTON, ,6011,NEW ZEALAND,04 382 9382,sandracraig@xtra.co.nz,43829382,
New Zealand,028022, ,028022,IAN GEORGE CLOTHING - BONEYARD,IAN CAMPBELL,SHOP 239,MANUKAU SHOPPING CENTRE,MANUKAU CITY,AUCKLAND, ,NEW ZEALAND,09 262 0008,kiyokoian@xtra.co.nz,09 262 0883,
New Zealand,028023,4110,028023,BRIAN MCARA,BRIAN/ Sophie acc's,106 EMERSON STREET,NAPIER SOUTH,NAPIER, ,4110,NEW ZEALAND,06 835 6901,soph.hansen@xtra.co.nz,06 835 6918,
New Zealand,028030,8011,028030,CHEAPSKATES - CHCH,,243 HIGH STREET,,CHRISTCHURCH, ,8011,NEW ZEALAND,,,,
